# Fixture English word-frequency list for word_frequency module tests.
# NOT a real corpus-derived table -- hand-picked words with plausible
# rank values spread across each band's range, for exercising the
# lookup/band/lemmatization-fallback logic in isolation. See
# docs/roadmap/word-frequency-data-sources-2026-08.md for real candidates.
# Format: <word> <rank>, one entry per line, ranks strictly ascending.
the 1
be 6
to 11
of 15
and 20
a 25
in 30
that 34
have 39
i 44
it 49
for 53
not 58
on 63
with 68
he 72
as 77
you 82
do 87
at 91
this 96
but 101
his 106
by 110
from 115
they 120
we 125
say 129
her 134
she 139
or 144
an 148
will 153
my 158
one 163
all 167
would 172
there 177
their 182
what 187
so 191
up 196
out 201
if 206
about 210
who 215
get 220
which 225
go 229
me 234
when 239
make 244
can 248
like 253
time 258
no 263
just 267
him 272
know 277
take 282
people 286
into 291
year 296
your 301
good 305
some 310
could 315
them 320
see 324
other 329
than 334
then 339
now 344
look 348
only 353
come 358
its 363
over 367
think 372
also 377
back 382
after 386
use 391
two 396
how 401
our 405
work 410
first 415
well 420
way 424
even 429
new 434
want 439
because 443
any 448
these 453
give 458
day 462
most 467
us 472
is 477
are 481
was 486
were 491
been 496
being 501
has 505
had 510
does 515
did 520
doing 524
done 529
house 534
water 539
world 543
school 548
story 553
hand 558
eye 562
place 567
room 572
mother 577
father 581
night 586
country 591
book 596
life 600
child 605
friend 610
family 615
teacher 619
question 624
name 629
city 634
tree 638
animal 643
food 648
music 653
color 657
number 662
letter 667
word 672
sentence 677
line 681
girl 686
boy 691
air 696
land 700
page 705
run 710
big 715
small 719
old 724
young 729
dog 734
cat 738
door 743
table 748
chair 753
bird 757
fish 762
sun 767
moon 772
star 776
sky 781
rain 786
snow 791
wind 795
fire 800
earth 805
stone 810
road 814
car 819
bus 824
train 829
plane 833
ship 838
boat 843
bridge 848
river 853
lake 857
sea 862
mountain 867
forest 872
field 876
garden 881
farm 886
king 891
queen 895
prince 900
ball 905
game 910
play 914
sing 919
dance 924
walk 929
talk 933
read 938
write 943
listen 948
watch 952
open 957
close 962
start 967
stop 971
help 976
find 981
lose 986
win 990
begin 995
end 1000
beautiful 1001
decision 1026
however 1052
quickly 1077
various 1102
positive 1128
purpose 1153
reduce 1178
similar 1203
achieve 1229
benefit 1254
complex 1279
contain 1305
deliver 1330
employee 1355
evidence 1381
factor 1406
function 1431
industry 1456
involve 1482
method 1507
occur 1532
policy 1558
process 1583
region 1608
resource 1634
response 1659
section 1684
series 1710
strategy 1735
structure 1760
effective 1785
obvious 1811
potential 1836
ancient 1861
curious 1887
gentle 1912
harvest 1937
imagine 1963
journey 1988
kingdom 2013
liberty 2038
mystery 2064
neighbor 2089
obstacle 2114
passenger 2140
quarrel 2165
rescue 2190
shelter 2216
treasure 2241
umbrella 2266
valley 2291
wisdom 2317
courage 2342
danger 2367
empire 2393
fortune 2418
glimpse 2443
horizon 2469
instinct 2494
jealous 2519
knowledge 2545
legend 2570
miracle 2595
notice 2620
opinion 2646
patience 2671
quality 2696
reflect 2722
satisfy 2747
temper 2772
unusual 2798
vanish 2823
wander 2848
yearn 2873
happy 2899
decide 2924
honest 2949
brave 2975
clever 3000
ambiguous 3001
coherent 3041
diligent 3081
eloquent 3121
fluctuate 3161
gratitude 3201
hazardous 3241
imminent 3281
jubilant 3321
legitimate 3361
melancholy 3401
nostalgic 3441
oblivious 3481
perceptive 3521
quaint 3561
resilient 3601
skeptical 3641
tranquil 3681
unprecedented 3721
versatile 3761
whimsical 3801
adversity 3841
benevolent 3881
candid 3921
deceptive 3961
elaborate 4001
forsake 4040
gregarious 4080
hinder 4120
indifferent 4160
judicious 4200
lucid 4240
meticulous 4280
notorious 4320
ominous 4360
pragmatic 4400
quell 4440
reticent 4480
scrupulous 4520
tedious 4560
unwavering 4600
vindicate 4640
wary 4680
exemplary 4720
formidable 4760
grievance 4800
hapless 4840
incessant 4880
jargon 4920
keen 4960
languish 5000
obfuscate 5001
quixotic 5301
recalcitrant 5601
sycophant 5901
taciturn 6201
ubiquitous 6501
verbose 6801
wistful 7101
xenophobic 7401
zealous 7701
cacophony 8001
debilitate 8301
ephemeral 8601
fastidious 8901
garrulous 9201
hegemony 9501
iconoclast 9801
juxtapose 10101
kowtow 10401
laconic 10701
mellifluous 11001
nefarious 11301
obsequious 11601
panacea 11901
quibble 12201
ramshackle 12501
sanguine 12800
tantamount 13100
unctuous 13400
vicarious 13700
winsome 14000
abstruse 14300
capitulate 14600
dilettante 14900
effervescent 15200
filibuster 15500
gauche 15800
harangue 16100
ineffable 16400
jocular 16700
kismet 17000
lugubrious 17300
mendacious 17600
nonchalant 17900
obdurate 18200
perfunctory 18500
quagmire 18800
ruminate 19100
sartorial 19400
truculent 19700
usurious 20000
sesquipedalian 20001
antediluvian 21082
perspicacious 22163
sockdolager 23244
callipygian 24325
defenestrate 25406
borborygmus 26487
ultracrepidarian 27568
mumpsimus 28649
snollygoster 29730
gongoozler 30812
absquatulate 31893
bloviate 32974
curmudgeonly 34055
discombobulate 35136
flibbertigibbet 36217
gobbledygook 37298
hobbledehoy 38379
kerfuffle 39460
lollygag 40541
malarkey 41622
nincompoop 42703
persnickety 43784
rambunctious 44865
skedaddle 45946
tomfoolery 47027
widdershins 48108
xylography 49189
yclept 50271
zoetrope 51352
bumfuzzle 52433
cattywampus 53514
doohickey 54595
fandangle 55676
gubbins 56757
hornswoggle 57838
lackadaisical 58919
obfuscatory 60000
