# English word-frequency table for the word_frequency module.
#
# Source: Google Books Ngram Corpus v3 (20200217), English Fiction
# subcorpus, 1-grams, books published 2010-2019, as aggregated and
# published by orgtre/google-books-ngram-frequency.
#   https://github.com/orgtre/google-books-ngram-frequency
#   http://books.google.com/ngrams
#
# Licence: CC BY 3.0. Attribution: Google Books Ngram Corpus; orgtre.
#
# Generated by scripts/build-word-frequency-table.mjs -- do not hand-edit.
# Format: <word> <rank>, one entry per line, ranks ascending.
the	1
to	2
and	3
a	4
of	5
i	6
he	7
was	8
in	9
her	10
it	11
you	12
she	13
not	14
that	15
his	16
had	17
with	18
for	19
on	20
as	21
but	22
at	23
my	24
him	25
is	26
be	27
me	28
they	29
have	30
said	31
do	32
this	33
from	34
what	35
we	36
out	37
up	38
all	39
would	40
so	41
were	42
did	43
there	44
one	45
could	46
if	47
when	48
no	49
by	50
like	51
about	52
been	53
them	54
into	55
back	56
then	57
an	58
or	59
are	60
your	61
can	62
just	63
their	64
know	65
who	66
time	67
now	68
will	69
more	70
down	71
over	72
how	73
get	74
see	75
which	76
man	77
some	78
before	79
only	80
here	81
way	82
eyes	83
even	84
go	85
than	86
after	87
other	88
two	89
too	90
think	91
well	92
right	93
off	94
going	95
looked	96
through	97
again	98
good	99
head	100
where	101
little	102
around	103
still	104
never	105
any	106
thought	107
made	108
away	109
hand	110
want	111
come	112
us	113
much	114
something	115
face	116
our	117
very	118
asked	119
has	120
first	121
long	122
got	123
why	124
let	125
make	126
look	127
take	128
say	129
knew	130
room	131
door	132
because	133
should	134
came	135
took	136
day	137
people	138
life	139
tell	140
went	141
felt	142
told	143
might	144
while	145
left	146
turned	147
old	148
own	149
another	150
its	151
last	152
being	153
night	154
wanted	155
nothing	156
sure	157
need	158
house	159
himself	160
few	161
those	162
put	163
hands	164
saw	165
really	166
though	167
must	168
yes	169
against	170
once	171
things	172
home	173
new	174
voice	175
place	176
enough	177
woman	178
father	179
anything	180
thing	181
always	182
without	183
every	184
these	185
mother	186
men	187
most	188
found	189
love	190
find	191
side	192
am	193
does	194
work	195
behind	196
moment	197
ever	198
until	199
such	200
both	201
mind	202
looking	203
same	204
next	205
years	206
seemed	207
three	208
each	209
help	210
heard	211
oh	212
many	213
great	214
feel	215
give	216
better	217
between	218
body	219
herself	220
under	221
maybe	222
yet	223
front	224
keep	225
also	226
stood	227
since	228
gave	229
small	230
done	231
hard	232
open	233
everything	234
heart	235
almost	236
world	237
may	238
far	239
across	240
already	241
seen	242
hair	243
course	244
sat	245
someone	246
called	247
together	248
young	249
light	250
inside	251
end	252
girl	253
bed	254
words	255
name	256
began	257
table	258
water	259
morning	260
family	261
upon	262
walked	263
else	264
call	265
black	266
soon	267
gone	268
trying	269
leave	270
mean	271
mouth	272
doing	273
part	274
white	275
held	276
along	277
smile	278
big	279
toward	280
arms	281
started	282
dark	283
pulled	284
god	285
set	286
days	287
feet	288
tried	289
half	290
best	291
talk	292
car	293
says	294
hear	295
myself	296
kind	297
close	298
air	299
used	300
believe	301
coming	302
having	303
later	304
smiled	305
least	306
nodded	307
past	308
stop	309
quite	310
getting	311
friend	312
ask	313
happened	314
second	315
arm	316
lot	317
making	318
floor	319
opened	320
needed	321
boy	322
full	323
reached	324
dead	325
high	326
bit	327
perhaps	328
deep	329
matter	330
taken	331
red	332
kept	333
whole	334
probably	335
stopped	336
shook	337
moved	338
lips	339
sound	340
idea	341
feeling	342
alone	343
money	344
able	345
rest	346
brought	347
word	348
sorry	349
breath	350
finally	351
taking	352
remember	353
okay	354
suddenly	355
everyone	356
five	357
care	358
four	359
sir	360
phone	361
miss	362
times	363
anyone	364
thinking	365
point	366
bad	367
stay	368
understand	369
outside	370
women	371
wife	372
fact	373
quickly	374
turn	375
ready	376
either	377
lost	378
brother	379
please	380
friends	381
children	382
year	383
fire	384
minutes	385
hope	386
others	387
fingers	388
use	389
blood	390
death	391
forward	392
school	393
window	394
case	395
ran	396
child	397
ground	398
try	399
read	400
fine	401
lady	402
top	403
real	404
different	405
met	406
wrong	407
talking	408
move	409
run	410
slowly	411
son	412
waiting	413
ago	414
wait	415
large	416
given	417
person	418
rather	419
cold	420
replied	421
wall	422
blue	423
watched	424
closed	425
shall	426
happy	427
true	428
show	429
standing	430
question	431
business	432
answer	433
hold	434
shoulder	435
caught	436
book	437
office	438
thank	439
laughed	440
street	441
known	442
town	443
followed	444
reason	445
pretty	446
city	447
chair	448
several	449
fell	450
story	451
onto	452
towards	453
sister	454
sitting	455
instead	456
however	457
hours	458
short	459
continued	460
chest	461
saying	462
near	463
road	464
less	465
eye	466
passed	467
living	468
longer	469
yeah	470
sense	471
actually	472
dad	473
rose	474
hell	475
above	476
beautiful	477
speak	478
live	479
job	480
stared	481
start	482
king	483
line	484
round	485
spoke	486
today	487
walk	488
sleep	489
within	490
kitchen	491
chance	492
returned	493
ten	494
glass	495
bring	496
hour	497
late	498
meant	499
clear	500
meet	501
whatever	502
during	503
baby	504
twenty	505
change	506
looks	507
lord	508
lay	509
couple	510
skin	511
pain	512
husband	513
become	514
sent	515
attention	516
cut	517
decided	518
guy	519
watch	520
power	521
beside	522
neck	523
legs	524
running	525
evening	526
free	527
stepped	528
exactly	529
sort	530
working	531
hot	532
truth	533
watching	534
holding	535
fear	536
gaze	537
sometimes	538
loved	539
nice	540
six	541
although	542
possible	543
daughter	544
glanced	545
answered	546
hurt	547
leaving	548
week	549
silence	550
sun	551
stand	552
became	553
yourself	554
mom	555
filled	556
green	557
tears	558
police	559
often	560
order	561
raised	562
strong	563
return	564
appeared	565
guess	566
shot	567
seeing	568
food	569
sit	570
certain	571
hit	572
die	573
straight	574
girls	575
seat	576
pushed	577
shoulders	578
number	579
parents	580
low	581
hundred	582
corner	583
war	584
early	585
dear	586
whether	587
mine	588
afraid	589
picked	590
seem	591
touch	592
poor	593
added	594
kill	595
wish	596
leaned	597
whispered	598
play	599
throat	600
human	601
step	602
coffee	603
country	604
dinner	605
easy	606
dropped	607
worked	608
moving	609
quiet	610
anyway	611
doctor	612
thoughts	613
realized	614
sight	615
kiss	616
months	617
earth	618
warm	619
building	620
except	621
themselves	622
died	623
knows	624
waited	625
strange	626
clothes	627
immediately	628
noticed	629
soft	630
closer	631
among	632
control	633
wondered	634
hall	635
safe	636
deal	637
nearly	638
expression	639
tonight	640
fast	641
walking	642
thanks	643
minute	644
trouble	645
led	646
beyond	647
news	648
means	649
horse	650
killed	651
arrived	652
beneath	653
figure	654
edge	655
shut	656
desk	657
cried	658
heavy	659
captain	660
